,Importance,,
K6SCMON,0.06461362,A score indicating the level of psychological stress in past month. Range 0-24,1
MHPDPHI2,0.032106016,Received MH TRT in past year,1
APPDRGMON,0.030855153,Approached by someone selling ill drugs pst 30 days,
SHSWFEA,0.029144509,last talked with school social worker in past year because afraid/tense,1
ASDSWRK2,0.021045448,role impairment – ability to work,1
MHPDSLF2,0.02050072,MH,
YMDELT,0.02005608,Adolescent Major Depression Episode (MDE),1
ASDSHOM2,0.016217012,Role impairment – Home Management,1
WSPDSC2,0.016158398,alternative to K6SCMON-,
CIGYR,0.013423653,past year cigarette use,1
IRPINC3,0.0130818,total income,1
INHOSPYR,0.012968328,stayed overnight as inptn in hosp past 12 months,
ASDSREL2,0.010785102,adult- role impairmnet- close rlshps,1
DIFGETHER,0.010320976,important for friends to share religious beliefs,1
CIGIRTBL,0.010272614,need to smoke to feel less irritable,1
WRK35WKUS,0.010254906,usually work 35 or more hrs per week,1
THERVST,0.010074559,important for friends to share religious beliefs,1
SCHFELT,0.009464676,how did you feel about going to school in past year,1
RSKCOCWK,0.0092371,how much people harm themselves physically and in other ways when they use coc once or twice a week,
RKFQPBLT,0.009042592,wear a seatbelt when ride front pass seat of car,1
SNYATTAK,0.008994746,Attacked someone with intent to seriously hurt them,1
PRTALK3,0.008757513,have you talked with your parents about danger of tobacco/alcohol,1
STMANYYR,0.008726575,any stimulants? Past year use. This does NOT refer to MISUSE,1
UADPEOP,0.008695597,social context of most recent alcohol,1
SMIPP_U,0.0086221,predicted serious mental illness prob,
AVGGRADE,0.008123339,average grade for last grading period,1
SMHVST2,0.0077261077,stays/visits to MH ,
RSKYFQTES,0.0072821034,like to test yourself by doing risky things,1
RSKYFQDGR,0.0072625736,get a real kick out of doing dangerous things,1
K6SCMAX,0.007144393,k6,
YSDSHOME,0.0068586715,youth- MDE role impairment. Errands at home,1
AMDETXRX,0.0068278657,Received trt/cnslg or rx med for depres feeling in py,1
IREDUHIGHST2,0.006700005,education level,
PNRANYYR,0.006675857,past year pain reliever use. NOT MISUSE.,
MOVSINPYR2,0.006584673,# times moved past 12 months,1
COLDYRR,0.0065429145,past year use of non-rx xough or cold medicines,
RSKHERWK,0.006512723,how much do people risk harming themselves when they use heroin once or twice a week,
YOFIGHT2,0.0065068235,youth- had serious fight at school/work,1
UADEVNT,0.0064672646,most recent alcohol use. At concert or sports game,
WRKOKRAND,0.0063691502,would you work for emp does drug/alc test randomly,
ANYMHIN2,0.006367462,received special MH in past yr,
SEXATRACT,0.0062934477,sexual attraction,1
IRKI17_2,0.006276938,# kids aged<18,1
IRFSTAMP,0.0062712026,resp/other family member rec food stamps,
SMHEAT2,0.0062463055,MH,
SMHANGR2,0.006194448,received MH bc of anger control in past yr,
SMKLSSYR,0.006158146,smokeless tobacco past year use,
CGRYR,0.0061564245,past year cigar use,1
ASDSOVL2,0.0059691425,assigned the max level of role impairment in the four role domains: home mgmt,
PRPROUD2,0.0059435796,parents tell you theyre proud of things done in pst year,1
WRKOKPREH,0.005921646,would you work for emp does drug test pre-hire,
AMDEHPO,0.005871655,saw health prof and no rx med for depres feelings in py,
RLGATTD,0.005831366,number of times attended religious services past year,1
YFLPKCG2,0.005789746,youth- how do you feel peer smoking pack/day cig,1
ARELMDE,0.0057562897,adult- saw/talked to relig advisor about depres feelings in py,
SHSWDPR,0.005543292,youth- talked w/ sch social worker in past year b/c depressed,
PRGDJOB2,0.0055350754,parents tell you had done good jobe in past year,
MHPDREH2,0.005478235,MH,
PSYANYYR,0.005475729,any psychotherapeutics in the past year,
RSKHERTRY,0.005434906,how much people harm themselves when they TRY heroin once or twice,
DIFGETCOC,0.005381354,how difficult to get cocaine if you wanted some,
TCHGJOB,0.005372037,teacher let you know doing good job in pst year,1
AMDERXO2,0.0052143796,depres,
UADPUBL,0.005210331,most recent alcohol use at park beach or lot,
OXYCNANYYR,0.005043712,oxycontin past year use,
ARGUPAR,0.0048521864,times argued/had a fight with one parent in pst yr,1
TRQANYFLAG,0.0048504453,any tranquilizers ever used,
PARCHKHW,0.004802047,parents check if hw done in past year,1
TRQANYYR,0.004770782,any trqlzrs past year?. NOT MISUSE,
ADOCMDE,0.0047564683,saw/talk depres feeling,
CLINVST,0.004678131,# times visited MH clinic past year,
SHSWFMLY,0.004655594,MH,
YMDEYR,0.0046234787,youth- MDE role impairment. Errands at home,
