	Importance	Categorical
APPDRGMON	0.058702003	
CIGYR	0.052230433	
K6SCMAX	0.031890363	0
IRPINC3	0.029574584	
K6SCMON	0.029402755	0
IRWRKSTAT	0.019807631	
DIFGETHER	0.017144365	
CIGAVOID	0.016885541	
PSYANYYR	0.015716588	
SMIPP_U	0.015586007	0
RSKYFQTES	0.014934751	
ARGUPAR	0.014015263	
RSKCOCWK	0.013672918	
WRKDRGHLP	0.012643993	
TRQANYYR	0.01216568	
IRMARITSTAT	0.011848406	
INHOSPYR	0.011614896	
OXYCNANYYR	0.0110336505	
WRKOKPREH	0.010685197	
SMKLSSYR	0.0105091	
WRKSKIPMO	0.010269698	0
STMANYYR	0.010159665	
IREDUHIGHST2	0.010054091	
RSKHERWK	0.010011903	
IROTHHLT	0.0097017195	
UADPEOP	0.009592017	
RSKHERTRY	0.00923244	
DIFGETCRK	0.0091403015	
WRKNUMJOB2	0.009043842	
YFLMJMO	0.008891475	
HIVAIDSEV	0.008889571	
HRTCONDEV	0.008877072	
WRKSTATWK2	0.008874888	
WRKDRGPOL	0.008758453	
RSKYFQDGR	0.008578727	
HIGHBPAGE	0.008467174	0
IRWRKSTAT18	0.008399386	
PNRANYYR	0.008258638	
RKFQPBLT	0.008168181	
WRKDPSTWK	0.00811989	
NMNGTHS2	0.007941168	
DIFGETCOC	0.007746966	
CIGINCTL	0.0077340445	
CIGCRAVE	0.007642212	
AGE2	0.0075701606	
IRFAMIN3	0.0075268866	
SNYATTAK	0.0071788332	
CGRYR	0.007166418	
MOVSINPYR2	0.007089956	
RSKLSDTRY	0.006999799	
BMI2	0.006581401	
CIGIRTBL	0.0065492047	
WRKSELFEM	0.0064161727	
IRHH65_2	0.006399211	
HIGHBPEVR	0.006244034	
RKFQDBLT	0.006193943	
IRKI17_2	0.0061476645	
NEWRACE2	0.006145049	
WRKTSTALC	0.0059672548	
MHLTHER3	0.005893608	
COLDYRR	0.005869547	
AMDETXRX	0.0058604637	
CIGREGDY	0.0057608313	
SEXAGE	0.005712878	
IRFSTAMP	0.005623625	
CIGFNLKE	0.0055717626	
TRQANYFLAG	0.0055256183	
AMDELT	0.0052781617	
WHODASC2	0.005164648	
SEXATRACT	0.0051480774	
WRKNJBPYR	0.005139735	
WRKSICKMO	0.0051049106	
DIABETEVR	0.0050024665	
WRKTST1ST	0.004955342	
PIPMON	0.0048935055	
IRSEX	0.0048913453	
WRKDPSTYR	0.0048374315	
WRKDHRSWK2	0.0048286603	
SMKLSSFLAG	0.00478572	
SNFAMJEV	0.004784482	
CGRFLAG	0.004714833	
PREGAGE2	0.0046620374	
ALCMON	0.004527625	
RSKBNGWK	0.0043649604	
IRHHSIZ2	0.004341766	
SNRLFRND	0.0042691887	
WHODASC3	0.00423831	
IRFAMPMT	0.0042217285	
K6SCYR	0.0041811797	
PIPFLAG	0.0040851384	
DIFGETMRJ	0.004053493	
CIGFLAG	0.0040460164	
RSKCIGPKD	0.0038755413	
DIFGETLSD	0.0038440234	
POVERTY3	0.003685899	
SNRLGIMP	0.0036272677	
HEALTH	0.0036177014	
WRKTSTRDM	0.003614917	
SEDANYYR	0.003611284	
WRKOKRAND	0.00356533	
AMHTXRC3	0.0035599791	
SEXRACE	0.0035575454	
ASDSWRK2	0.003509984	
RSKCOCMON	0.0034968772	
MILSON	0.003482404	
EDFAM18	0.0034577039	
WRKRSNJOB	0.0034255907	
HPQTTOB	0.003281074	
COPDAGE	0.0032620432	
WRKDRGEDU	0.003189264	
CIGCRAGP	0.0031553374	
NMERTMT2	0.0031205313	
RSKMRJMON	0.0031180673	
WRKNJBWKS	0.0031162011	
RSKMRJWK	0.0031108062	
RSKLSDWK	0.0030705421	
AMHSVTYP	0.0030666257	
DIFFTHINK	0.0028693825	
ASDSOVL2	0.0028582115	
ARXMDEYR	0.002784937	
CELLNOTCL	0.0024237777	
RSKBNGDLY	0.002396802	
ALCYR	0.0023752584	
WRKRSNNOT	0.0023124814	
ASDSSOC2	0.0021896998	
STNDSMJ	0.0020057198	
SPEAKENGL	0.0018566953	
DIFFDRESS	0.00185495	
COUTYP4	0.0018382056	
CIGREGWK	0.0016786072	
DYTXVST	0	
SMHSUI2	0	
SPOUTVST	0	
SMHVST2	0	
SMHFEA2	0	
SPINVST2	0	
AMDEYR	0	
HOMEVST	0	
THERVST	0	
CLINVST	0	
SMHDPR2	0	
SMHEAT2	0	
SMHBRK2	0	
SMHANGR2	0	
SMHFITE2	0	
SMHFMLY2	0	
SMHFRND2	0	
SMHOTPP2	0	
MI_CAT_U	0	
SMHSCHL2	0	
SMHMEND2	0	
SMHOTH3	0	
COMBATPY	0	
ATXMDEYR	0	
SHSWSUI	0	
FOSTVST	0	
ADOCMDE	0	
AMDEHARX	0	
AMDERXO2	0	
AMDEHPO	0	
AMDEHPRX	0	
AALTMDE	0	
AHLTMDE	0	
ASDSREL2	0	
AMDEIMP	0	
ANYMHIN2	0	
ANYMHOUT	0	
AOTHMDE	0	
AHBCHMDE	0	
ARELMDE	0	
ANYSMH2	0	
ANURSMDE	0	
ANYNSMH	0	
ANYMHED2	0	
AOMHMDE	0	
ANYSEDMF	0	
HOSPVST	0	
ACOUNMDE	0	
ASOCMDE	0	
APSY2MDE	0	
ASDSHOM2	0	
APSY1MDE	0	
RESIDVST	0	
MILPARTNR	0	
SHSWDPR	0	
UADSCHL	0	
UADPLACE	0	
UADBWHO	0	
UADMONY	0	
UADPAID	0	
UADOTSP	0	
UADROTH	0	
UADEVNT	0	
UADCAG	0	
UADBAR	0	
UADPUBL	0	
UADOTHM	0	
UADHOME	0	
UADCAR	0	
ACTDPRIV	0	
UADBUND	0	
UADFWHO	0	
YSDSOVRL	0	
ACTD9001	0	
PSYANYFLAG	0	
SEDANYFLAG	0	
MILSTAT	0	
STMANYFLAG	0	
ACTDEVER	0	
ACTD2001	0	
